Player Name,Estimated Strength,True Strength
P1T3,968.1620710259514,965.0
P9T7,967.9345130946983,977.0
P10T15,988.2743136187432,1005.0
P6T8,1040.0483180988836,1088.0
P10T13,1268.3529014413218,1268.0
P4T9,1016.6894634766958,1068.0
P9T3,1129.9301105814507,1118.0
P2T7,950.2402619712831,962.0
P5T1,1117.0194202908033,1116.0
P10T11,869.840901635768,909.0
P6T4,873.0501896501753,995.0
P4T5,958.3661343965034,971.0
P9T9,947.5763114919215,921.0
P2T15,985.2388816083485,1057.0
P4T3,1098.918728647029,1153.0
P7T6,935.3927044133882,1000.0
P8T4,933.9823940849225,1007.0
P7T3,942.9873410155553,940.0
P1T15,984.2039398870319,980.0
P10T2,1057.7658984849206,1093.0
P10T8,932.8053411762431,942.0
P2T10,1206.3727765782912,1194.0
P6T13,1031.5594673925164,997.0
P8T3,972.1829006077077,1101.0
P10T5,1022.9229183498973,1001.0
P3T13,993.3667625544882,986.0
P3T7,928.9645374948235,909.0
P8T11,1201.4680388295494,1311.0
P3T6,1014.9879590098348,1004.0
P1T5,1091.5778154622699,1079.0
P10T3,887.6674670535418,924.0
P1T10,862.0007124304383,908.0
P6T7,1115.3829612240634,1085.0
P6T15,1097.8113653050555,1132.0
P1T6,904.6594180571575,962.0
P2T3,965.4409925943098,971.0
P3T1,1063.0130385885793,1039.0
P2T12,981.1710460183085,1062.0
P9T10,1235.943510035662,1249.0
P6T11,1025.5863851153058,1104.0
P5T13,1024.7473784030717,1025.0
P8T6,863.1822451992651,942.0
P9T2,1042.7326737847873,1133.0
P5T6,1004.100879165226,1098.0
P10T7,1002.137477321141,1073.0
P3T5,961.6506919188331,1004.0
P2T14,1041.5092426368772,1087.0
P3T10,928.3846161665075,971.0
P5T14,979.6694940563498,1037.0
P5T8,889.9508463714186,926.0
P1T11,861.5453514251408,1002.0
P7T13,1023.6480669101137,995.0
P3T12,1041.9730180549868,1132.0
P8T2,808.8882188962895,920.0
P7T4,994.216001272994,990.0
P10T10,977.2936910135487,1007.0
P5T3,1118.4728603541196,1149.0
P3T4,885.2077437590851,967.0
P10T6,980.9848253895212,1077.0
P4T6,918.8912511405626,972.0
P1T13,977.1933040793273,967.0
P8T10,1088.2682439324735,1078.0
P8T7,1016.9504020353987,1088.0
P9T15,933.0506196486414,927.0
P9T14,899.1333260451726,911.0
P6T3,1046.602544250845,1104.0
P5T15,1013.3249728402798,973.0
P1T12,1167.083237203535,1166.0
P9T12,878.711135659268,937.0
P7T14,983.8336498000023,999.0
P4T10,1136.8332231535373,1194.0
P8T5,1021.1265906887476,1051.0
P7T2,874.6026524082345,923.0
P1T7,946.1599763583791,974.0
P3T15,1112.0820007667865,1121.0
P10T12,873.0292225179976,939.0
P9T11,842.2125710293367,955.0
P2T13,1034.6848016174533,982.0
P6T12,992.6734752884868,1053.0
P8T13,1251.0875390996903,1281.0
P3T9,873.6270524231164,926.0
P2T5,973.0386787012184,975.0
P4T14,1030.3198979777455,1044.0
P6T1,1000.2181240480809,1021.0
P5T5,1095.8972198193453,1052.0
P1T14,958.7915763083085,965.0
P4T1,1012.6862440284642,964.0
P2T2,899.7773682451237,941.0
P9T6,935.1479119609593,1042.0
P7T8,1000.1973586263155,1065.0
P1T9,1107.9121839817533,1125.0
P3T8,1154.6929822595125,1204.0
P5T10,1152.2160001548261,1145.0
P2T11,1010.1585796109167,1111.0
P5T11,847.2809383278558,965.0
P7T10,892.0938286784385,911.0
P9T13,1301.5885377529478,1268.0
P3T11,989.3779768206173,1069.0
P10T4,909.8973149024276,997.0
P7T9,1060.3082506220862,1066.0
P4T11,933.9107137578021,1043.0
P2T1,954.0629501091883,920.0
P5T9,948.6965945544537,1021.0
P1T8,937.6128649782456,1045.0
P8T9,859.7598617331792,940.0
P6T14,1029.6891785270136,1071.0
P10T1,961.2005658729679,963.0
P5T4,912.265276466604,969.0
P7T1,1156.7942590348953,1089.0
P4T4,1064.7375204966484,1162.0
P6T10,958.0999441061776,962.0
P4T8,913.3451469954956,995.0
P4T12,834.5721398630458,920.0
P1T2,953.2916096498801,919.0
P8T14,1090.13579519025,1107.0
P3T2,903.5511074807915,941.0
P2T4,925.4742153018303,1003.0
P10T9,1100.2421081914838,1135.0
P1T4,1012.8772412714516,1076.0
P6T9,939.8830480298658,989.0
P9T5,982.6857758532748,1045.0
P7T7,1120.9836511208014,1099.0
P9T4,950.1450722661574,1036.0
P3T14,953.2344262592627,1005.0
P8T12,946.5051188135326,1010.0
P2T9,1052.6283768634535,1098.0
P9T1,950.4650476163592,976.0
P4T15,1054.3093314040361,1028.0
P7T12,951.9432146636036,987.0
P4T13,1087.0427323903502,1053.0
P4T7,959.7064670298707,1015.0
P6T2,954.2069482658374,1035.0
P8T8,916.0329771835726,955.0
P5T7,914.5747261319284,943.0
P4T2,976.9495822067847,997.0
P6T6,898.3284901742608,967.0
P9T8,946.1834034184157,951.0
P2T6,876.0874481761977,963.0
P2T8,1128.2445935697756,1112.0
P7T11,1060.8104538025889,1185.0
P6T5,948.2707986008716,941.0
P8T15,1059.8539266183564,1072.0
P5T2,1108.9917672737129,1148.0
P3T3,1268.546039747997,1211.0
P7T5,1295.0621958701802,1290.0
P1T1,1009.0445762373736,952.0
P10T14,1099.1480562312183,1101.0
P8T1,1080.1340792678905,1040.0
P7T15,921.6034756483339,924.0
P5T12,926.1568059754655,992.0
