Player name,Player strength,True Time played
P8T14,949,19.764705882352942
P5T14,1008,22.588235294117645
P10T14,1104,28.235294117647058
P2T14,920,18.35294117647059
P4T14,1070,26.823529411764707
P6T14,1100,28.235294117647058
P3T14,1023,24.0
P7T14,936,18.35294117647059
P1T14,1103,28.235294117647058
P9T14,1048,25.41176470588235
P3T5,1117,28.156424581005588
P6T5,1230,33.5195530726257
P1T5,1015,22.793296089385475
P5T5,1061,24.134078212290504
P9T5,928,17.430167597765365
P8T5,960,18.77094972067039
P7T5,941,18.77094972067039
P10T5,975,20.111731843575416
P2T5,1164,30.837988826815643
P4T5,1081,25.47486033519553
P9T1,954,20.869565217391305
P10T1,1054,26.832298136645964
P7T1,1045,26.832298136645964
P3T1,927,19.37888198757764
P8T1,940,20.869565217391305
P6T1,982,22.360248447204967
P4T1,1042,26.832298136645964
P2T1,1042,26.832298136645964
P1T1,953,20.869565217391305
P5T1,1084,28.32298136645963
P4T4,936,19.746835443037973
P9T4,1004,24.30379746835443
P10T4,1060,27.341772151898734
P8T4,1130,31.898734177215186
P6T4,931,19.746835443037973
P5T4,927,19.746835443037973
P3T4,989,24.30379746835443
P2T4,982,22.78481012658228
P7T4,1016,25.822784810126585
P1T4,988,24.30379746835443
P7T11,1052,27.0
P2T11,967,22.5
P1T11,1032,25.5
P10T11,1037,25.5
P8T11,938,21.0
P5T11,953,21.0
P3T11,1067,28.5
P6T11,1054,27.0
P9T11,915,19.5
P4T11,977,22.5
P5T8,1244,32.33160621761658
P4T8,1031,21.13989637305699
P6T8,1134,26.1139896373057
P8T8,1169,28.60103626943005
P9T8,1077,23.62694300518135
P10T8,1155,27.357512953367877
P3T8,1086,23.62694300518135
P1T8,909,14.922279792746114
P2T8,1015,21.13989637305699
P7T8,1023,21.13989637305699
P6T10,1130,26.80851063829787
P7T10,996,20.425531914893618
P4T10,1158,28.085106382978722
P9T10,1065,24.25531914893617
P1T10,1028,21.70212765957447
P5T10,1125,26.80851063829787
P2T10,930,16.595744680851066
P10T10,1153,28.085106382978722
P8T10,1006,20.425531914893618
P3T10,1134,26.80851063829787
P5T12,979,19.88950276243094
P10T12,946,18.56353591160221
P7T12,1008,21.215469613259668
P3T12,1013,22.541436464088395
P9T12,976,19.88950276243094
P4T12,1218,33.149171270718234
P6T12,1070,25.193370165745854
P8T12,1306,37.12707182320442
P1T12,1005,21.215469613259668
P2T12,1005,21.215469613259668
P6T6,1015,25.5
P2T6,914,19.5
P7T6,975,22.5
P8T6,944,21.0
P4T6,1061,27.0
P9T6,1042,27.0
P3T6,1087,28.5
P1T6,1001,24.0
P10T6,1032,25.5
P5T6,926,19.5
P7T16,948,19.421965317919074
P3T16,1143,30.52023121387283
P6T16,993,22.196531791907514
P8T16,1065,26.358381502890175
P5T16,1073,26.358381502890175
P1T16,990,22.196531791907514
P2T16,1062,24.971098265895954
P9T16,935,18.034682080924856
P4T16,1086,26.358381502890175
P10T16,1034,23.583815028901736
P1T7,1021,24.431137724550897
P4T7,952,20.119760479041915
P8T7,1005,22.994011976047904
P2T7,949,20.119760479041915
P5T7,1005,22.994011976047904
P6T7,1252,37.365269461077844
P3T7,946,20.119760479041915
P7T7,965,21.55688622754491
P9T7,1116,30.179640718562872
P10T7,950,20.119760479041915
P4T9,1172,32.85714285714286
P3T9,993,22.857142857142854
P7T9,940,20.0
P5T9,1124,30.0
P2T9,1058,25.71428571428571
P8T9,1062,25.71428571428571
P1T9,921,18.571428571428573
P10T9,1007,22.857142857142854
P9T9,983,21.42857142857143
P6T9,950,20.0
P1T15,923,18.35294117647059
P4T15,1145,31.058823529411768
P5T15,968,21.176470588235297
P7T15,1094,28.235294117647058
P6T15,1016,24.0
P2T15,972,21.176470588235297
P3T15,1155,31.058823529411768
P8T15,934,18.35294117647059
P10T15,965,21.176470588235297
P9T15,1060,25.41176470588235
P6T13,969,20.571428571428573
P10T13,1085,26.057142857142857
P9T13,1043,24.685714285714287
P2T13,1094,27.428571428571427
P4T13,1035,23.314285714285713
P7T13,946,19.2
P1T13,1036,23.314285714285713
P8T13,1084,26.057142857142857
P5T13,999,21.942857142857143
P3T13,1095,27.428571428571427
P9T2,1221,34.09090909090909
P4T2,980,20.454545454545453
P1T2,1181,31.363636363636363
P5T2,953,19.09090909090909
P6T2,1118,28.636363636363637
P10T2,1054,24.545454545454547
P7T2,972,20.454545454545453
P3T2,1106,27.272727272727273
P8T2,906,16.363636363636363
P2T2,915,17.727272727272727
P10T3,1027,23.18181818181818
P6T3,1094,27.272727272727273
P1T3,1030,23.18181818181818
P2T3,1040,24.545454545454547
P5T3,1032,23.18181818181818
P3T3,1012,21.81818181818182
P9T3,1079,25.90909090909091
P7T3,939,19.09090909090909
P8T3,1040,24.545454545454547
P4T3,1103,27.272727272727273
